########Default mode########
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
########Default mode########
2015-12-08 11:56:36 3090 GYROSCOPE 513255248820828  x:0.452991 y:0.296703 z:-0.202686
2015-12-08 11:56:36 3090 ACCELEROMETER 513255248820828  x:1.2103521 y:5.3592763 z:8.923356
2015-12-08 11:56:36 3090 GRAVITY 15818009736738405  x:-4.96692 y:0.49020213 z:8.441552
########Default mode########
2015-12-08 11:56:36 3710 GYROSCOPE 513255308383172  x:0.7326 y:0.649572 z:-0.09768
2015-12-08 11:56:36 3710 ACCELEROMETER 513255308383172  x:1.13022 y:6.206044 z:7.4259644
2015-12-08 11:56:36 3710 GRAVITY 15818009736738405  x:-4.96692 y:0.49020213 z:8.441552
########Default mode########
2015-12-08 11:56:36 4310 GYROSCOPE 513255308383172  x:0.7326 y:0.649572 z:-0.09768
2015-12-08 11:56:36 4310 ACCELEROMETER 513255308383172  x:1.13022 y:6.206044 z:7.4259644
2015-12-08 11:56:36 4310 GRAVITY 15818009736738405  x:-4.96692 y:0.49020213 z:8.441552
########Default mode########
2015-12-08 11:56:36 4920 GYROSCOPE 513255308383172  x:0.7326 y:0.649572 z:-0.09768
2015-12-08 11:56:36 4920 ACCELEROMETER 513255308383172  x:1.13022 y:6.206044 z:7.4259644
2015-12-08 11:56:36 4920 GRAVITY 15818009736738405  x:-4.96692 y:0.49020213 z:8.441552
########Default mode########
2015-12-08 11:56:36 5520 GYROSCOPE 513255487437234  x:-0.10989 y:-0.555555 z:-0.282051
2015-12-08 11:56:36 5520 ACCELEROMETER 513255487437234  x:0.130364 y:6.1127563 z:7.238192
2015-12-08 11:56:36 5520 GRAVITY 15818009736738405  x:0.42990687 y:6.5049005 z:7.3261075
########Default mode########
2015-12-08 11:56:36 6130 GYROSCOPE 513255547218849  x:0.42490798 y:-0.062271 z:-0.15018299
2015-12-08 11:56:36 6130 ACCELEROMETER 513255547218849  x:0.17342 y:5.849636 z:7.0683603
2015-12-08 11:56:36 6130 GRAVITY 15818009736738405  x:0.35434133 y:6.5237513 z:7.31338
########Default mode########
2015-12-08 11:56:36 6740 GYROSCOPE 513255607082807  x:0.103785 y:-0.246642 z:-0.308913
2015-12-08 11:56:36 6740 ACCELEROMETER 513255607082807  x:0.084916 y:5.9022603 z:6.9212523
2015-12-08 11:56:36 6740 GRAVITY 15818009736738405  x:0.26833594 y:6.548708 z:7.2947116
########Default mode########
2015-12-08 11:56:36 7340 GYROSCOPE 513255666827807  x:0.257631 y:-0.017094 z:-0.102564
2015-12-08 11:56:36 7340 ACCELEROMETER 513255666827807  x:-0.13873601 y:6.3041162 z:7.93546
2015-12-08 11:56:36 7340 GRAVITY 15818009736738405  x:0.21624358 y:6.5631185 z:7.283482
########Default mode########
2015-12-08 11:56:36 7950 GYROSCOPE 513255726411297  x:0.261294 y:-0.030524999 z:-0.035409
2015-12-08 11:56:36 7950 ACCELEROMETER 513255726411297  x:-0.087308004 y:6.545708 z:6.862648
2015-12-08 11:56:36 7950 GRAVITY 15818009736738405  x:0.14760591 y:6.6384854 z:7.2165856
########Default mode########
2015-12-08 11:56:36 8550 GYROSCOPE 513255786234578  x:0.108669 y:-0.031746 z:-0.029304
2015-12-08 11:56:36 8550 ACCELEROMETER 513255786234578  x:-0.16744 y:6.5193963 z:7.838584
2015-12-08 11:56:36 8550 GRAVITY 15818009736738405  x:0.14533834 y:6.6797357 z:7.1784673
########Default mode########
2015-12-08 11:56:36 9160 GYROSCOPE 513255845719161  x:0.100122 y:0.006105 z:-0.039072
2015-12-08 11:56:36 9160 ACCELEROMETER 513255845719161  x:0.052624002 y:6.9080963 z:6.905704
2015-12-08 11:56:36 9160 GRAVITY 15818009736738405  x:0.10856643 y:6.7181096 z:7.14322
########Default mode########
2015-12-08 11:56:36 9770 GYROSCOPE 513255905466870  x:0.042735 y:-0.119658 z:0.031746
2015-12-08 11:56:36 9770 ACCELEROMETER 513255905466870  x:0.088504 y:6.881784 z:7.232212
2015-12-08 11:56:36 9770 GRAVITY 15818009736738405  x:0.13884942 y:6.7736297 z:7.0900683
########Default mode########
2015-12-08 11:56:37 0370 GYROSCOPE 513255965172494  x:-0.083027996 y:-0.080586 z:0.24542099
2015-12-08 11:56:37 0370 ACCELEROMETER 513255965172494  x:0.636272 y:6.653348 z:6.6246443
2015-12-08 11:56:37 0370 GRAVITY 15818009736738405  x:0.2800418 y:6.770777 z:7.08862
########Default mode########
2015-12-08 11:56:37 0980 GYROSCOPE 513256024876922  x:-0.21367499 y:0.025641 z:0.274725
2015-12-08 11:56:37 0980 ACCELEROMETER 513256024876922  x:0.464048 y:6.4763403 z:7.0444403
2015-12-08 11:56:37 0980 GRAVITY 15818009736738405  x:0.41737223 y:6.7377276 z:7.1133127
########Default mode########
2015-12-08 11:56:37 1580 GYROSCOPE 513256084583536  x:-0.472527 y:0.493284 z:0.155067
2015-12-08 11:56:37 1580 ACCELEROMETER 513256084583536  x:1.209156 y:6.7574 z:7.120984
2015-12-08 11:56:37 1580 GRAVITY 15818009736738405  x:0.41708454 y:6.6011477 z:7.240254
########Default mode########
2015-12-08 11:56:37 2180 GYROSCOPE 513256144426401  x:-0.551892 y:0.25641 z:0.029304
2015-12-08 11:56:37 2180 ACCELEROMETER 513256144426401  x:0.46046 y:6.097208 z:7.856524
2015-12-08 11:56:37 2180 GRAVITY 15818009736738405  x:0.32307652 y:6.3784127 z:7.4419003
########Default mode########
2015-12-08 11:56:37 2790 GYROSCOPE 513256204004161  x:-0.234432 y:-0.335775 z:0.089133
2015-12-08 11:56:37 2790 ACCELEROMETER 513256204004161  x:0.49155602 y:5.725252 z:7.825428
2015-12-08 11:56:37 2790 GRAVITY 15818009736738405  x:0.37369326 y:6.1648498 z:7.6174397
########Default mode########
2015-12-08 11:56:37 3410 GYROSCOPE 513256263703849  x:-0.39560398 y:-0.882783 z:0.090353996
2015-12-08 11:56:37 3410 ACCELEROMETER 513256263703849  x:1.023776 y:5.425056 z:7.496528
2015-12-08 11:56:37 3410 GRAVITY 15818009736738405  x:0.71308935 y:5.9648795 z:7.751266
########Default mode########
2015-12-08 11:56:37 4010 GYROSCOPE 513256323379838  x:-0.947496 y:-0.616605 z:0.249084
2015-12-08 11:56:37 4010 ACCELEROMETER 513256323379838  x:1.060852 y:5.780268 z:6.048172
2015-12-08 11:56:37 4010 GRAVITY 15818009736738405  x:1.6364272 y:5.1081305 z:8.20972
########Default mode########
2015-12-08 11:56:37 4620 GYROSCOPE 513256383217078  x:-1.406592 y:-0.592185 z:0.065934
2015-12-08 11:56:37 4620 ACCELEROMETER 513256442865359  x:2.2197762 y:3.8762362 z:12.743381
2015-12-08 11:56:37 4620 GRAVITY 15818009736738405  x:1.8481658 y:4.3889284 z:8.572747
########Default mode########
2015-12-08 11:56:37 5230 GYROSCOPE 513256442865359  x:-0.825396 y:-0.39316198 z:-0.217338
2015-12-08 11:56:37 5230 ACCELEROMETER 513256502903640  x:0.212888 y:4.8438 z:9.254648
2015-12-08 11:56:37 5230 GRAVITY 15818009736738405  x:1.6764824 y:4.261379 z:8.671819
########Default mode########
2015-12-08 11:56:37 5840 GYROSCOPE 513256562380671  x:-0.333333 y:-0.050061 z:1.39194
2015-12-08 11:56:37 5840 ACCELEROMETER 513256562380671  x:2.21858 y:4.159688 z:6.360328
2015-12-08 11:56:37 5840 GRAVITY 15818009736738405  x:1.303086 y:4.30827 z:8.712702
########Default mode########
2015-12-08 11:56:37 6440 GYROSCOPE 513256622203380  x:-1.05006 y:0.25641 z:-0.272283
2015-12-08 11:56:37 6440 ACCELEROMETER 513256622203380  x:2.737644 y:3.4289322 z:8.041904
2015-12-08 11:56:37 6440 GRAVITY 15818009736738405  x:1.7932442 y:3.8484912 z:8.839896
########Default mode########
2015-12-08 11:56:37 7040 GYROSCOPE 513256622203380  x:-1.05006 y:0.25641 z:-0.272283
2015-12-08 11:56:37 7040 ACCELEROMETER 513256682001036  x:1.101516 y:4.3414803 z:9.446009
2015-12-08 11:56:37 7040 GRAVITY 15818009736738405  x:2.34621 y:3.4819274 z:8.862386
########Default mode########
2015-12-08 11:56:37 7650 GYROSCOPE 513256741840098  x:0.201465 y:0.365079 z:-0.102564
2015-12-08 11:56:37 7650 ACCELEROMETER 513256741840098  x:1.431612 y:3.751852 z:9.19126
2015-12-08 11:56:37 7650 GRAVITY 15818009736738405  x:1.8588549 y:3.5290105 z:8.958858
########Default mode########
2015-12-08 11:56:37 8260 GYROSCOPE 513256801476348  x:-0.20757 y:0.257631 z:-0.074480996
2015-12-08 11:56:37 8260 ACCELEROMETER 513256801476348  x:1.777256 y:4.190784 z:9.8681965
2015-12-08 11:56:37 8260 GRAVITY 15818009736738405  x:1.5425334 y:3.5824537 z:8.997612
########Default mode########
2015-12-08 11:56:37 8890 GYROSCOPE 513256861088796  x:0.91819197 y:0.405372 z:-0.112332
2015-12-08 11:56:37 8890 ACCELEROMETER 513256861088796  x:0.910156 y:3.588 z:9.689992
2015-12-08 11:56:37 8890 GRAVITY 15818009736738405  x:1.2641022 y:3.7809918 z:8.959718
########Default mode########
2015-12-08 11:56:37 9500 GYROSCOPE 513256920294682  x:0.620268 y:0.178266 z:-0.053724
2015-12-08 11:56:37 9500 ACCELEROMETER 513256920294682  x:0.440128 y:3.8893921 z:8.147152
2015-12-08 11:56:37 9500 GRAVITY 15818009736738405  x:1.0371146 y:4.1471543 z:8.825866
########Default mode########
2015-12-08 11:56:38 0110 GYROSCOPE 513256979985723  x:0.263736 y:-0.279609 z:-0.218559
2015-12-08 11:56:38 0110 ACCELEROMETER 513256979985723  x:-0.19853601 y:3.918096 z:7.7153964
2015-12-08 11:56:38 0110 GRAVITY 15818009736738405  x:0.88407636 y:4.414013 z:8.712364
########Default mode########
2015-12-08 11:56:38 0700 GYROSCOPE 513257040018536  x:-0.275946 y:-0.162393 z:-0.224664
2015-12-08 11:56:38 0700 ACCELEROMETER 513257040018536  x:0.058604002 y:2.847676 z:6.961916
2015-12-08 11:56:38 0700 GRAVITY 15818009736738405  x:0.9871584 y:4.4441314 z:8.685943
########Default mode########
2015-12-08 11:56:38 1310 GYROSCOPE 513257099877546  x:-0.142857 y:1.092795 z:-0.681318
2015-12-08 11:56:38 1310 ACCELEROMETER 513257099877546  x:0.67574 y:1.5882881 z:8.93412
2015-12-08 11:56:38 1310 GRAVITY 15818009736738405  x:0.26453397 y:4.2853594 z:8.816809
########Default mode########
2015-12-08 11:56:38 1920 GYROSCOPE 513257159616036  x:-0.758241 y:0.641025 z:-0.948717
2015-12-08 11:56:38 1920 ACCELEROMETER 513257159616036  x:-1.186432 y:4.31756 z:6.774144
2015-12-08 11:56:38 1920 GRAVITY 15818009736738405  x:-0.11228488 y:3.7473764 z:9.061729
########Default mode########
2015-12-08 11:56:38 2530 GYROSCOPE 513257218923327  x:-1.115994 y:0.982905 z:-0.730158
2015-12-08 11:56:38 2530 ACCELEROMETER 513257218923327  x:-0.16863601 y:3.67172 z:9.438832
2015-12-08 11:56:38 2530 GRAVITY 15818009736738405  x:-0.92388594 y:3.3495805 z:9.170449
########Default mode########
2015-12-08 11:56:38 3140 GYROSCOPE 513257279180463  x:-1.498167 y:-0.16605599 z:-1.108668
2015-12-08 11:56:38 3140 ACCELEROMETER 513257279180463  x:-1.553604 y:5.4525642 z:11.883456
2015-12-08 11:56:38 3140 GRAVITY 15818009736738405  x:-1.3624054 y:2.7031043 z:9.32778
########Default mode########
2015-12-08 11:56:38 3760 GYROSCOPE 513257338903484  x:-0.588522 y:-0.10989 z:-0.526251
2015-12-08 11:56:38 3760 ACCELEROMETER 513257338903484  x:-3.705208 y:6.227572 z:11.816481
2015-12-08 11:56:38 3760 GRAVITY 15818009736738405  x:-1.534646 y:2.2968204 z:9.409562
########Default mode########
2015-12-08 11:56:38 4380 GYROSCOPE 513257398435879  x:0.037851 y:-0.324786 z:0.277167
2015-12-08 11:56:38 4380 ACCELEROMETER 513257398435879  x:-0.368368 y:2.1336641 z:10.210252
2015-12-08 11:56:38 4380 GRAVITY 15818009736738405  x:-1.7546623 y:2.4842224 z:9.3231
########Default mode########
2015-12-08 11:56:38 4990 GYROSCOPE 513257457859109  x:0.26861998 y:0.076923 z:0.238095
2015-12-08 11:56:38 4990 ACCELEROMETER 513257457859109  x:0.009568 y:1.603836 z:9.796436
2015-12-08 11:56:38 4990 GRAVITY 15818009736738405  x:-1.5306123 y:2.6090372 z:9.328481
########Default mode########
2015-12-08 11:56:38 5610 GYROSCOPE 513257517338067  x:-0.054945 y:-0.007326 z:-0.100122
2015-12-08 11:56:38 5610 ACCELEROMETER 513257517338067  x:0.154284 y:1.4292201 z:8.589672
2015-12-08 11:56:38 5610 GRAVITY 15818009736738405  x:-1.3218716 y:2.5515182 z:9.376183
########Default mode########
2015-12-08 11:56:38 6210 GYROSCOPE 513257577039473  x:0.18192899 y:0.34188 z:-0.295482
2015-12-08 11:56:38 6210 ACCELEROMETER 513257577039473  x:-0.748696 y:1.607424 z:9.498632
2015-12-08 11:56:38 6210 GRAVITY 15818009736738405  x:-1.2706865 y:2.4644687 z:9.406495
########Default mode########
2015-12-08 11:56:38 6820 GYROSCOPE 513257636992181  x:0.102564 y:0.673992 z:-0.411477
2015-12-08 11:56:38 6820 ACCELEROMETER 513257636992181  x:-1.856192 y:2.14084 z:10.450648
2015-12-08 11:56:38 6820 GRAVITY 15818009736738405  x:-1.4496161 y:2.3891633 z:9.40005
########Default mode########
2015-12-08 11:56:38 7430 GYROSCOPE 513257696450619  x:0.412698 y:0.323565 z:-0.380952
2015-12-08 11:56:38 7430 ACCELEROMETER 513257696450619  x:-2.6766481 y:2.604888 z:10.17796
2015-12-08 11:56:38 7430 GRAVITY 15818009736738405  x:-1.7394141 y:2.4220493 z:9.342298
########Default mode########
